customer_id,name,dob,gender,visits
1,Jamila,1989-01-12,F,23
2,Omar,1983-04-03,M,17
3,Murad,1993-12-09,M,12
4,Aaliyah,1977-09-14,F,38
5,Abdulrahman,1991-02-18,M,10
6,Ahmad,1985-02-12,M,45
7,Khalid,1992-01-11,M,31
8,Faisal,1993-02-21,M,25
9,Saud,1994-03-22,M,34
10,Naif,1995-04-23,M,19
11,Hassan,1996-05-24,M,27
12,Fatimah,1997-06-25,F,41
13,Ali,1998-07-26,M,36
14,Noura,1999-08-27,F,22
15,Layla,1986-09-28,F,49
16,Mariam,1987-10-06,F,46
17,Lina,1988-11-09,F,15
18,Salma,1989-12-04,F,32
19,Nouf,1990-06-02,F,28
20,Sara,1991-01-01,F,50
21,Reem,2004-01-10,M,39
22,Farah,1999-01-29,M,8
23,Karim,1994-02-03,M,21
24,Abdullah,1994-02-15,M,14
25,Ibrahim,2011-02-18,M,3
26,Bilal,2011-02-28,M,20
27,Aisha,1992-03-19,F,48
28,Yasmin,1994-04-17,F,7
29,Layan,1991-01-11,F,29
30,Heba,1991-02-19,F,43
31,Omar,1994-04-12,M,18
32,Youssef,1993-06-21,Male,37
33,Malik,1994-05-22,Male,24
34,Amani,1994-04-23,Female,40
35,Jad,1991-02-24,M,6
36,Dana,1993-02-27,F,30
37,Salim,2000-01-28,M,13
38,Ayah,2001-10-31,F,2
39,Tariq,2006-11-30,M,1
40,Faris,2007-12-31,M,5
41,Layla,2004-11-29,Female,9
42,Rakan,2008-11-28,M,16
43,Jamal,2001-03-27,M,26
44,Munira,2002-10-26,Female,35
45,Dalia,1993-12-23,F,44
46,Nawaf,1997-09-22,M,33
47,Amira,1999-08-11,Female,47
48,Waleed,1998-07-02,M,23
49,Khalifa,1996-06-01,M,42
50,Zahra,1996-05-23,F,1
